schema	1	-	-
property	withdrawal_eventually_paid	BridgeSpec.Liveness.committed_withdrawal_eventually_paid	eventual_external_resolution;eventual_keeper_action;eventual_storage_commit;ledger_fee_immutability;no_permanent_pause;runtime_toolchain;scheduler_weak_fairness;time_progress_and_cycles;terminal_transition_admissibility
property	funded_deposit_eventually_minted	BridgeSpec.Liveness.funded_deposit_eventually_minted	eventual_external_resolution;eventual_storage_commit;eventual_user_action;no_permanent_pause;runtime_toolchain;scheduler_weak_fairness;time_progress_and_cycles;terminal_transition_admissibility
property	expired_deposit_eventually_refunded	BridgeSpec.Liveness.expired_deposit_eventually_refunded	eventual_external_resolution;eventual_keeper_action;eventual_storage_commit;ledger_fee_immutability;no_permanent_pause;runtime_toolchain;scheduler_weak_fairness;time_progress_and_cycles;terminal_transition_admissibility
property	funded_deposit_eventually_minted_or_refunded	BridgeSpec.Liveness.funded_deposit_eventually_minted_or_refunded	eventual_external_resolution;eventual_keeper_action;eventual_storage_commit;eventual_user_action;ledger_fee_immutability;no_permanent_pause;runtime_toolchain;scheduler_weak_fairness;time_progress_and_cycles;terminal_transition_admissibility
property	funding_failure_eventually_cancelled	BridgeSpec.Liveness.funding_failure_eventually_cancelled	eventual_external_resolution;eventual_storage_commit;no_permanent_pause;runtime_toolchain;scheduler_weak_fairness;time_progress_and_cycles;terminal_transition_admissibility
